id,titulo,version
634,Per te Dei Genitrix,Solesmes
629,Dilexisti,Solesmes
636,Spiritus Domini sine Alleluia,Solesmes
637,Qui ambulat,Solesmes
616,Si ambulavero,Solesmes
632,Confiteantur tibi,Solesmes
639,Narrabo omnia,Solesmes
640,Illumina faciem,Solesmes
638,Pange lingua... Lauream,Solesmes 1961
641,Lauda Jerusalem,Solesmes
642,Loquebar (All.),Solesmes
644,Ab ortu solis,Solesmes
643,Sinite parvulos,Solesmes
617,Laetabitur justus (Com.),Solesmes
648,Exaltabo te,Solesmes
647,Priusquam,Solesmes
645,Sacerdotes Domini,Solesmes
651,Locus iste,Solesmes
649,Postquam surrexit,Solesmes
646,Sapientia reddidit,Solesmes
650,Pater si non potest,Solesmes
652,Oravi Deum,Solesmes
655,Gaudens gaudebo,Solesmes
654,Eructavit,Solesmes
656,Tenuisti manum,Solesmes
658,Et si coram,Solesmes
653,Laetare Jerusalem,Solesmes
657,Dum complerentur,Solesmes
659,De ventre matris,Solesmes
665,Discerne causam,Solesmes
614,Ecce quam bonum,Solesmes
663,In Deo salutare,Solesmes
660,Angelus Domini apparuit (Tract.),Solesmes
661,Laudate pueri,Solesmes
662,In conspectu Angelorum (Off),Solesmes 1961
666,Tu es Petrus (Communio),Solesmes
664,Tamquam prodigium,Solesmes
669,Hi sunt qui venerunt,Solesmes
667,In virtute tua,Solesmes
671,Laudate... omnes Angeli,Solesmes
668,Lauda anima,Solesmes
672,Propter fratres meos,Solesmes
673,Simile est... homini,Solesmes
670,Salvos fac nos,Solesmes
674,Si diligis me,Solesmes
677,Manducaverunt,Solesmes
675,Sicut in holocausto,Solesmes
676,Sciens Jesus,Solesmes
679,Sacerdos sit sanctus,Solesmes
680,Non habemus hic,Solesmes
682,Deus docuisti,Solesmes
683,Quam magna,Solesmes
685,Qui mihi ministrat,Solesmes
687,Dixit Jesus discipulo,Solesmes
692,Aperite,Solesmes
703,Videte quoniam,Solesmes
706,Sapientiam ipsorum (All.),Solesmes
722,Desiderium animae,Solesmes
700,Qui posuit fines,Solesmes
693,Dominus secus mare,Solesmes
